X_coord;Y_coord;Id
4428062;5749930;110
4427932;5749890;111
4428028;5749724;112
4428092;5749577;113
4428089;5749360;114
4428105;5749189;115
4428122;5749044;NA
4428129;5748889;117
4428086;5748785;118
4427954;5748947;119
4427887;5749114;120
4427836;5749319;121
4427950;5749243;122
4427929;5749496;123
4427807;5749625;124
4427786;5749495;125
4427579;5749612;126
4427668;5749765;127
4427780;5749847;128
4427563;5749885;129
4427461;5749819;130
NA;5749787;131
4427303;5749690;132
4427560;5749481;133
4427704;5749249;134
4427785;5749011;135
4427618;5749083;136
4427660;5748900;137
4427849;5748858;138
4427440;5748925;139
4427476;5749111;140
4427512;5749330;141
4427357;5749507;142
4427194;5749687;143
4427095;5749673;144
4427179;5749506;145
4427373;5749355;146
4427351;5749188;147
4427197;5749195;148
4427135;5749339;149
4427010;5749504;150
4426918;5749618;151
4426723;5749512;152
4426881;5749397;153
4426941;5749277;154
4427011;5749134;155
4427115;5749038;156
4427237;5748957;157
4426845;NA;158
4426762;5749297;159
4426567;5749453;160
4426632;5749287;161
4426676;5749108;162
4426481;5749154;163
4426426;5749333;164
4426255;5749196;165
4426093;5749162;166
